"","Destination.City","Origin.City","Airline.Status","Age","Gender","Price.Sensitivity","Year.of.First.Flight","Flights.Per.Year","Loyalty","Type.of.Travel","Total.Freq.Flyer.Accts","Shopping.Amount.at.Airport","Eating.and.Drinking.at.Airport","Class","Day.of.Month","Flight.date","Partner.Code","Partner.Name","Origin.State","Destination.State","Scheduled.Departure.Hour","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","Flight.cancelled","Flight.time.in.minutes","Flight.Distance","Likelihood.to.recommend","olong","olat","dlong","dlat","freeText"
"4197","Phoenix, AZ","Boston, MA","Silver",39,"Female",1,2007,15,0.4737,"Personal Travel",4,60,10,"Eco",7,"3/7/14","US","Southeast Airlines Co.","Massachusetts","Arizona",16,2,0,"No",315,2300,9,-71.1407,42.3731,-111.97,33.4941,NA
"4198","Miami, FL","Houston, TX","Blue",67,"Male",1,2010,0,1,"Mileage tickets",0,0,215,"Eco",20,"2/20/14","AA","Paul Smith Airlines Inc.","Texas","Florida",15,0,0,"No",114,964,4,-95.3935,29.7843,-80.2314,26.1756,NA
"4199","San Jose, CA","Phoenix, AZ","Blue",50,"Female",1,2006,20,-0.3793,"Business travel",1,0,47,"Eco",23,"1/23/14","US","Southeast Airlines Co.","Arizona","California",14,30,33,"No",92,621,7,-111.97,33.4941,-121.9451,37.3298,NA
"4200","Fayetteville, AR","Houston, TX","Gold",33,"Male",1,2003,13,-0.7333,"Business travel",0,510,90,"Eco",21,"2/21/14","EV","FlyFast Airways Inc.","Texas","Arkansas",19,0,0,"No",63,438,5,-95.3935,29.7843,-94.1798,36.2674,NA
"4201","Denver, CO","Oklahoma City, OK","Gold",33,"Female",1,2009,22,-0.4667,"Business travel",2,0,75,"Eco",2,"2/2/14","F9","GoingNorth Airlines Inc.","Oklahoma","Colorado",13,0,0,"No",72,495,4,-97.5243,35.5048,-104.9551,39.7108,NA
"4202","Milwaukee, WI","Kansas City, MO","Silver",40,"Female",1,2003,16,-0.3913,"Business travel",1,30,30,"Eco Plus",25,"2/25/14","WN","Cheapseats Airlines Inc.","Missouri","Wisconsin",10,0,0,"No",66,436,8,-94.5949,39.0398,-88.1005,43.0557,NA
"4203","Richmond, VA","Atlanta, GA","Gold",62,"Female",1,2008,5,-0.1111,"Business travel",0,25,85,"Business",13,"1/13/14","DL","Sigma Airlines Inc.","Georgia","Virginia",7,0,1,"No",63,481,10,-84.3319,33.8241,-77.488,37.4779,NA
"4204","Chicago, IL","Los Angeles, CA","Blue",72,"Male",2,2008,38,-0.9487,"Mileage tickets",0,0,90,"Eco",16,"2/16/14","AA","Paul Smith Airlines Inc.","California","Illinois",15,0,0,"No",191,1744,7,-118.1043,33.9827,-87.8954,41.8271,NA
"4205","Phoenix, AZ","San Jose, CA","Blue",74,"Female",1,2012,8,0.0588,"Personal Travel",0,0,60,"Eco",11,"3/11/14","US","Southeast Airlines Co.","California","Arizona",16,0,3,"No",90,621,4,-121.9451,37.3298,-111.97,33.4941,NA
"4206","Washington, DC","Tampa, FL","Gold",46,"Female",1,2003,21,-0.1053,"Business travel",1,30,90,"Eco",26,"2/26/14","US","Southeast Airlines Co.","Florida","Virginia",14,85,76,"No",105,814,10,-82.5132,28.0062,-77.1897,38.8974,NA
"4207","Houston, TX","Las Vegas, NV","Blue",61,"Female",1,2011,14,-0.4,"Business travel",0,0,60,"Eco Plus",29,"1/29/14","WN","Cheapseats Airlines Inc.","Nevada","Texas",14,0,0,"No",151,1235,10,-115.1672,36.1349,-95.3935,29.7843,NA
"4208","Albuquerque, NM","Phoenix, AZ","Blue",32,"Female",1,2003,5,0.7727,"Business travel",2,0,50,"Eco",17,"3/17/14","WN","Cheapseats Airlines Inc.","Arizona","New Mexico",13,0,0,"No",45,328,9,-111.97,33.4941,-106.6281,35.1434,NA
"4209","Los Angeles, CA","Las Vegas, NV","Blue",38,"Male",1,2012,36,-0.6364,"Business travel",2,0,120,"Eco",7,"2/7/14","WN","Cheapseats Airlines Inc.","Nevada","California",20,15,46,"No",48,236,10,-115.1672,36.1349,-118.1043,33.9827,NA
"4210","Little Rock, AR","Denver, CO","Blue",36,"Male",1,2007,16,-0.3333,"Business travel",4,0,70,"Eco",18,"3/18/14","OO","Northwest Business Airlines Inc.","Colorado","Arkansas",9,5,13,"No",97,771,9,-104.9551,39.7108,-92.3212,34.7566,NA
"4211","Atlanta, GA","Akron, OH","Gold",34,"Female",1,2003,0,1,"Business travel",2,30,180,"Eco",11,"3/11/14","DL","Sigma Airlines Inc.","Ohio","Georgia",14,0,0,"No",78,528,8,-81.4919,41.0662,-84.3319,33.8241,NA
"4212","Los Angeles, CA","Reno, NV","Blue",21,"Male",2,2010,21,-0.3548,"Business travel",0,0,80,"Eco",3,"3/3/14","OO","Northwest Business Airlines Inc.","Nevada","California",16,4,2,"No",60,391,4,-119.7959,39.5326,-118.1043,33.9827,NA
"4213","Los Angeles, CA","Atlanta, GA","Gold",76,"Male",1,2010,17,-0.4167,"Personal Travel",1,0,10,"Eco",1,"2/1/14","DL","Sigma Airlines Inc.","Georgia","California",12,30,20,"No",268,1947,3,-84.3319,33.8241,-118.1043,33.9827,NA
"4214","Kahului, HI","Sacramento, CA","Blue",51,"Male",1,2005,8,0.0588,"Business travel",1,0,30,"Eco",20,"1/20/14","AS","FlyToSun Airlines Inc.","California","Hawaii",10,0,0,"No",307,2404,9,-121.3247,38.6386,-156.4779,20.8864,NA
"4215","Charlotte, NC","New York, NY","Silver",28,"Male",1,2004,3,0.5,"Business travel",1,0,70,"Eco",30,"1/30/14","MQ","EnjoyFlying Air Services","New York","North Carolina",13,0,0,"No",92,544,10,-73.9702,40.7184,-80.8158,35.2497,NA
"4216","Denver, CO","Baltimore, MD","Blue",35,"Female",1,2005,15,0.0625,"Business travel",2,30,70,"Eco",1,"3/1/14","OU","Oursin Airlines Inc.","Maryland","Colorado",7,0,0,"No",229,1491,9,-76.6478,39.2341,-104.9551,39.7108,NA
"4217","Buffalo, NY","New York, NY","Blue",56,"Female",1,2011,41,-0.7083,"Personal Travel",0,28,60,"Eco",4,"3/4/14","B6","OnlyJets Airlines Inc.","New York","New York",18,0,0,"No",59,301,7,-73.9702,40.7184,-78.8237,42.9249,NA
"4218","Atlanta, GA","Orlando, FL","Silver",52,"Male",2,2007,6,0.2941,"Business travel",2,115,90,"Eco",12,"1/12/14","DL","Sigma Airlines Inc.","Florida","Georgia",19,0,0,"No",57,404,10,-81.4112,28.5844,-84.3319,33.8241,NA
"4219","Houston, TX","Seattle, WA","Blue",16,"Female",1,2010,12,-0.6,"Personal Travel",2,0,30,"Business",9,"2/9/14","AS","FlyToSun Airlines Inc.","Washington","Texas",10,0,11,"No",228,1874,3,-122.2747,47.4684,-95.3935,29.7843,NA
"4220","Washington, DC","New York, NY","Blue",75,"Female",1,2003,52,-0.7931,"Personal Travel",0,5,35,"Eco",24,"3/24/14","EV","FlyFast Airways Inc.","New York","Virginia",6,0,0,"No",46,228,2,-73.9702,40.7184,-77.1897,38.8974,NA
"4221","Denver, CO","Detroit, MI","Silver",30,"Female",1,2010,6,0.3333,"Business travel",2,0,60,"Business",18,"2/18/14","WN","Cheapseats Airlines Inc.","Michigan","Colorado",19,34,20,"No",163,1123,9,-83.2276,42.49,-104.9551,39.7108,NA
"4222","Milwaukee, WI","New York, NY","Blue",68,"Female",1,2008,63,-0.8529,"Personal Travel",0,10,5,"Eco",11,"2/11/14","WN","Cheapseats Airlines Inc.","New York","Wisconsin",12,0,0,"No",117,738,6,-73.9702,40.7184,-88.1005,43.0557,NA
"4223","Fayetteville, AR","Detroit, MI","Blue",54,"Male",1,2008,45,-0.9565,"Personal Travel",0,0,30,"Eco",5,"3/5/14","EV","FlyFast Airways Inc.","Michigan","Arkansas",19,114,103,"No",110,715,2,-83.2276,42.49,-94.1798,36.2674,NA
"4224","Philadelphia, PA","Atlanta, GA","Silver",52,"Female",2,2007,0,1,"Business travel",0,0,0,"Eco",6,"3/6/14","FL","FlyHere Airways","Georgia","Pennsylvania",22,26,18,"No",86,666,8,-84.3319,33.8241,-75.2984,39.9733,NA
"4225","Tulsa, OK","Houston, TX","Blue",63,"Female",1,2010,39,-0.95,"Personal Travel",0,1,55,"Business",20,"2/20/14","EV","FlyFast Airways Inc.","Texas","Oklahoma",12,0,0,"No",67,429,1,-95.3935,29.7843,-95.9013,36.1054,NA
"4226","Detroit, MI","Chicago, IL","Blue",61,"Male",1,2012,39,-0.5294,"Mileage tickets",1,20,90,"Eco",18,"1/18/14","EV","FlyFast Airways Inc.","Illinois","Michigan",10,29,15,"No",46,235,5,-87.8954,41.8271,-83.2276,42.49,NA
"4227","Houston, TX","Phoenix, AZ","Platinum",50,"Male",1,2006,4,0.2727,"Mileage tickets",3,0,30,"Eco",23,"2/23/14","WN","Cheapseats Airlines Inc.","Arizona","Texas",8,6,0,"No",120,1020,6,-111.97,33.4941,-95.3935,29.7843,NA
"4228","St. Louis, MO","Phoenix, AZ","Blue",70,"Female",1,2005,2,0.3333,"Business travel",0,0,40,"Eco",26,"3/26/14","US","Southeast Airlines Co.","Arizona","Missouri",18,0,0,"No",138,1262,7,-111.97,33.4941,-90.3409,38.6307,NA
"4229","Chicago, IL","Austin, TX","Blue",32,"Female",1,2010,15,-0.1538,"Business travel",3,0,20,"Eco",5,"2/5/14","AA","Paul Smith Airlines Inc.","Texas","Illinois",12,22,17,"No",119,978,3,-97.7615,30.3585,-87.8954,41.8271,NA
"4230","Los Angeles, CA","Tucson, AZ","Silver",42,"Female",1,2006,19,0.283,"Personal Travel",2,0,20,"Eco Plus",1,"2/1/14","OO","Northwest Business Airlines Inc.","Arizona","California",11,20,19,"No",72,451,7,-110.9461,32.2549,-118.1043,33.9827,NA
"4231","Miami, FL","Houston, TX","Blue",80,"Female",2,2009,18,-0.6364,"Personal Travel",0,15,90,"Eco",6,"1/6/14","OU","Oursin Airlines Inc.","Texas","Florida",14,97,94,"No",113,964,4,-95.3935,29.7843,-80.2314,26.1756,NA
"4232","Chicago, IL","Baltimore, MD","Blue",67,"Female",0,2007,44,-0.9556,"Personal Travel",0,0,100,"Eco",18,"3/18/14","OU","Oursin Airlines Inc.","Maryland","Illinois",7,0,0,"No",105,622,8,-76.6478,39.2341,-87.8954,41.8271,NA
"4233","Sacramento, CA","Houston, TX","Silver",59,"Female",1,2008,21,-0.4483,"Business travel",0,0,60,"Eco",16,"3/16/14","OU","Oursin Airlines Inc.","Texas","California",21,10,0,"No",217,1609,8,-95.3935,29.7843,-121.3247,38.6386,NA
"4234","Seattle, WA","San Francisco, CA","Blue",16,"Male",1,2010,7,0.125,"Personal Travel",2,0,72,"Eco",3,"2/3/14","AS","FlyToSun Airlines Inc.","California","Washington",12,0,1,"No",112,679,5,-122.1585,37.6712,-122.2747,47.4684,NA
"4235","Phoenix, AZ","Houston, TX","Blue",49,"Female",1,2012,7,0.3,"Business travel",1,80,70,"Eco",16,"2/16/14","WN","Cheapseats Airlines Inc.","Texas","Arizona",15,0,0,"No",143,1020,8,-95.3935,29.7843,-111.97,33.4941,NA
"4236","New York, NY","Miami, FL","Blue",44,"Female",1,2005,25,-0.7241,"Mileage tickets",1,60,110,"Eco Plus",3,"3/3/14","AA","Paul Smith Airlines Inc.","Florida","New York",15,9,0,"No",136,1096,9,-80.2314,26.1756,-73.9702,40.7184,NA
"4237","Lubbock, TX","Denver, CO","Blue",27,"Male",2,2006,22,-0.375,"Personal Travel",1,25,35,"Eco",19,"2/19/14","EV","FlyFast Airways Inc.","Colorado","Texas",19,1,4,"No",68,456,6,-104.9551,39.7108,-101.8932,33.5592,NA
"4238","Chicago, IL","Minneapolis, MN","Blue",17,"Female",2,2006,2,0.4286,"Business travel",3,0,75,"Eco Plus",16,"2/16/14","AA","Paul Smith Airlines Inc.","Minnesota","Illinois",16,7,0,"No",54,334,10,-93.2798,44.9782,-87.8954,41.8271,NA
"4239","Boston, MA","New York, NY","Blue",36,"Female",1,2006,11,0,"Business travel",2,0,25,"Eco Plus",21,"3/21/14","B6","OnlyJets Airlines Inc.","New York","Massachusetts",10,0,0,"No",34,187,4,-73.9702,40.7184,-71.1407,42.3731,NA
"4240","San Jose, CA","Seattle, WA","Blue",73,"Female",1,2008,28,-0.8065,"Personal Travel",0,0,25,"Eco Plus",31,"3/31/14","AS","FlyToSun Airlines Inc.","Washington","California",7,17,6,"No",108,697,1,-122.2747,47.4684,-121.9451,37.3298,NA
"4241","Chicago, IL","Las Vegas, NV","Silver",38,"Female",2,2010,0,1,"Business travel",1,0,60,"Eco",22,"1/22/14","WN","Cheapseats Airlines Inc.","Nevada","Illinois",17,45,18,"No",170,1521,9,-115.1672,36.1349,-87.8954,41.8271,NA
"4242","Denver, CO","Fargo, ND","Blue",18,"Female",2,2006,27,-0.7419,"Mileage tickets",1,20,3,"Business",15,"2/15/14","F9","GoingNorth Airlines Inc.","North Dakota","Colorado",9,0,0,"No",100,627,8,-96.8207,46.8625,-104.9551,39.7108,NA
"4243","Detroit, MI","Portland, OR","Silver",36,"Female",1,2004,0,1,"Business travel",0,150,35,"Eco",21,"3/21/14","DL","Sigma Airlines Inc.","Oregon","Michigan",11,235,222,"No",208,1953,9,-122.6511,45.5204,-83.2276,42.49,NA
"4244","Green Bay, WI","Chicago, IL","Blue",21,"Male",1,2005,2,0,"Business travel",0,0,60,"Eco",10,"1/10/14","OO","Northwest Business Airlines Inc.","Illinois","Wisconsin",13,25,41,"No",38,173,9,-87.8954,41.8271,-88.0395,44.5072,NA
"4245","Atlanta, GA","Minneapolis, MN","Blue",15,"Female",1,2003,15,-0.875,"Business travel",1,0,80,"Business",16,"3/16/14","DL","Sigma Airlines Inc.","Minnesota","Georgia",15,9,13,"No",114,907,4,-93.2798,44.9782,-84.3319,33.8241,NA
"4246","San Francisco, CA","Pittsburgh, PA","Blue",38,"Male",2,2009,0,1,"Business travel",0,0,65,"Eco",14,"2/14/14","OU","Oursin Airlines Inc.","Pennsylvania","California",6,16,0,"No",312,2254,9,-79.951,40.457,-122.1585,37.6712,NA
"4247","Chicago, IL","Madison, WI","Blue",71,"Female",1,2004,23,-0.7037,"Personal Travel",0,30,50,"Eco",18,"2/18/14","MQ","EnjoyFlying Air Services","Wisconsin","Illinois",17,0,0,"No",28,108,7,-89.4299,43.0874,-87.8954,41.8271,NA
"4248","Atlanta, GA","Orlando, FL","Blue",80,"Female",1,2003,40,-0.7021,"Personal Travel",0,0,90,"Eco",26,"2/26/14","FL","FlyHere Airways","Florida","Georgia",19,0,0,"No",64,404,8,-81.4112,28.5844,-84.3319,33.8241,NA
"4249","Salt Lake City, UT","San Francisco, CA","Blue",52,"Male",1,2004,22,-0.76,"Personal Travel",0,0,70,"Eco",5,"1/5/14","DL","Sigma Airlines Inc.","California","Utah",13,72,70,"No",76,599,4,-122.1585,37.6712,-111.9295,40.6408,NA
"4250","Baltimore, MD","Charleston, SC","Platinum",33,"Male",1,2008,1,0.8182,"Business travel",1,15,0,"Eco",25,"2/25/14","WN","Cheapseats Airlines Inc.","South Carolina","Maryland",20,14,2,"No",65,472,3,-80.0155,32.9023,-76.6478,39.2341,NA
"4251","Washington, DC","Las Vegas, NV","Blue",42,"Female",1,2003,22,-0.913,"Business travel",2,0,105,"Eco",3,"3/3/14","US","Southeast Airlines Co.","Nevada","Virginia",13,0,0,"No",236,2089,10,-115.1672,36.1349,-77.1897,38.8974,NA
"4252","Houston, TX","Atlanta, GA","Blue",43,"Female",1,2006,14,0.0345,"Mileage tickets",2,60,35,"Eco",27,"3/27/14","EV","FlyFast Airways Inc.","Georgia","Texas",12,0,0,"No",121,689,8,-84.3319,33.8241,-95.3935,29.7843,NA
"4253","Washington, DC","Miami, FL","Gold",40,"Male",2,2003,10,-0.4286,"Business travel",2,30,15,"Eco",12,"1/12/14","AA","Paul Smith Airlines Inc.","Florida","Virginia",21,0,0,"No",118,921,6,-80.2314,26.1756,-77.1897,38.8974,NA
"4254","San Juan, PR","Tampa, FL","Silver",41,"Female",0,2011,4,0.3846,"Business travel",1,0,105,"Eco Plus",25,"1/25/14","B6","OnlyJets Airlines Inc.","Florida","Puerto Rico",8,0,0,"No",144,1237,10,-82.5132,28.0062,-66.1162,18.2882,NA
"4255","Las Vegas, NV","Atlanta, GA","Blue",42,"Male",1,2009,14,-0.1667,"Business travel",1,90,90,"Eco",4,"2/4/14","DL","Sigma Airlines Inc.","Georgia","Nevada",13,0,0,"No",243,1747,10,-84.3319,33.8241,-115.1672,36.1349,NA
"4256","Philadelphia, PA","Charlotte, NC","Blue",46,"Female",1,2003,10,-0.4286,"Business travel",1,25,15,"Eco",28,"2/28/14","US","Southeast Airlines Co.","North Carolina","Pennsylvania",7,0,0,"No",80,449,8,-80.8158,35.2497,-75.2984,39.9733,NA
"4257","Chicago, IL","Minneapolis, MN","Blue",37,"Female",2,2006,6,0.7073,"Business travel",1,15,60,"Eco Plus",20,"1/20/14","AA","Paul Smith Airlines Inc.","Minnesota","Illinois",18,0,0,"No",56,334,10,-93.2798,44.9782,-87.8954,41.8271,NA
"4258","Chicago, IL","Orlando, FL","Blue",17,"Male",1,2012,35,-0.7073,"Personal Travel",1,0,70,"Eco",11,"1/11/14","WN","Cheapseats Airlines Inc.","Florida","Illinois",11,9,4,"No",131,990,4,-81.4112,28.5844,-87.8954,41.8271,NA
"4259","San Antonio, TX","Atlanta, GA","Blue",31,"Male",1,2008,12,-0.8462,"Business travel",1,0,10,"Eco",16,"2/16/14","DL","Sigma Airlines Inc.","Georgia","Texas",14,0,0,"No",123,874,8,-84.3319,33.8241,-98.4754,29.5144,NA
"4260","San Francisco, CA","Chicago, IL","Silver",36,"Female",1,2010,6,0.5,"Business travel",1,5,205,"Eco",11,"1/11/14","OU","Oursin Airlines Inc.","Illinois","California",18,22,24,"No",272,1846,8,-87.8954,41.8271,-122.1585,37.6712,NA
"4261","Salt Lake City, UT","Medford, OR","Blue",25,"Male",1,2010,0,1,"Business travel",2,0,0,"Eco",24,"2/24/14","OO","Northwest Business Airlines Inc.","Oregon","Utah",6,0,0,"No",80,575,3,-122.8442,42.3364,-111.9295,40.6408,NA
"4262","Portland, OR","Seattle, WA","Blue",59,"Female",1,2003,29,-0.6111,"Business travel",0,0,210,"Eco",18,"3/18/14","OO","Northwest Business Airlines Inc.","Washington","Oregon",10,0,0,"No",32,129,8,-122.2747,47.4684,-122.6511,45.5204,NA
"4263","Atlanta, GA","Tulsa, OK","Blue",38,"Male",2,2010,22,-0.3333,"Business travel",4,10,60,"Eco",17,"1/17/14","DL","Sigma Airlines Inc.","Oklahoma","Georgia",6,0,0,"No",83,674,10,-95.9013,36.1054,-84.3319,33.8241,NA
"4264","San Jose, CA","Phoenix, AZ","Blue",49,"Female",1,2007,24,-0.2632,"Business travel",1,0,40,"Eco",21,"1/21/14","WN","Cheapseats Airlines Inc.","Arizona","California",20,20,13,"No",91,621,8,-111.97,33.4941,-121.9451,37.3298,NA
"4265","Charlotte, NC","Rochester, NY","Platinum",85,"Male",1,2007,13,-0.7333,"Personal Travel",0,0,270,"Eco Plus",8,"2/8/14","US","Southeast Airlines Co.","New York","North Carolina",8,5,1,"No",96,573,1,-77.5682,43.1376,-80.8158,35.2497,NA
"4266","Albuquerque, NM","Phoenix, AZ","Blue",16,"Male",2,2011,36,-0.6744,"Mileage tickets",3,0,115,"Eco",27,"3/27/14","WN","Cheapseats Airlines Inc.","Arizona","New Mexico",14,20,15,"No",46,328,8,-111.97,33.4941,-106.6281,35.1434,NA
"4267","San Jose, CA","Denver, CO","Blue",61,"Female",1,2004,15,-0.6667,"Mileage tickets",0,10,70,"Business",10,"1/10/14","WN","Cheapseats Airlines Inc.","Colorado","California",12,15,8,"No",136,948,10,-104.9551,39.7108,-121.9451,37.3298,NA
"4268","Fort Wayne, IN","Chicago, IL","Silver",50,"Male",2,2003,24,-0.5484,"Business travel",0,0,70,"Eco",4,"2/4/14","MQ","EnjoyFlying Air Services","Illinois","Indiana",14,4,15,"No",36,157,9,-87.8954,41.8271,-85.1389,41.1004,NA
"4269","Denver, CO","Salt Lake City, UT","Blue",33,"Female",1,2010,13,0.5185,"Personal Travel",2,0,35,"Eco",26,"2/26/14","EV","FlyFast Airways Inc.","Utah","Colorado",17,0,0,"No",59,391,6,-111.9295,40.6408,-104.9551,39.7108,NA
"4270","Lihue, HI","San Diego, CA","Blue",35,"Female",1,2010,10,0.5238,"Personal Travel",1,0,95,"Eco",11,"3/11/14","AS","FlyToSun Airlines Inc.","California","Hawaii",10,0,0,"No",342,2676,8,-117.1288,32.9287,-159.3617,21.9758,NA
"4271","Charlotte, NC","Chicago, IL","Platinum",44,"Male",2,2005,17,-0.4167,"Business travel",0,0,140,"Eco",3,"2/3/14","EV","FlyFast Airways Inc.","Illinois","North Carolina",9,127,121,"No",86,599,8,-87.8954,41.8271,-80.8158,35.2497,NA
"4272","Seattle, WA","Boston, MA","Blue",16,"Female",2,2007,13,-0.8571,"Business travel",1,0,60,"Eco Plus",30,"1/30/14","AS","FlyToSun Airlines Inc.","Massachusetts","Washington",7,0,0,"No",344,2496,7,-71.1407,42.3731,-122.2747,47.4684,NA
"4273","Chicago, IL","Hartford, CT","Silver",47,"Female",2,2006,26,-0.3333,"Personal Travel",2,0,50,"Eco",7,"3/7/14","MQ","EnjoyFlying Air Services","Connecticut","Illinois",10,0,0,"No",125,783,7,-72.6988,41.7401,-87.8954,41.8271,NA
"4274","Los Angeles, CA","Atlanta, GA","Silver",40,"Female",1,2004,10,-0.4286,"Business travel",0,0,20,"Eco",14,"1/14/14","DL","Sigma Airlines Inc.","Georgia","California",12,0,0,"No",256,1947,8,-84.3319,33.8241,-118.1043,33.9827,NA
"4275","Houston, TX","Lake Charles, LA","Blue",31,"Male",1,2011,41,-0.5185,"Business travel",3,50,0,"Eco",15,"1/15/14","EV","FlyFast Airways Inc.","Louisiana","Texas",16,0,0,"No",28,127,6,-93.2558,30.2447,-95.3935,29.7843,NA
"4276","New York, NY","Los Angeles, CA","Blue",65,"Male",2,2006,51,-0.9615,"Personal Travel",0,0,0,"Eco",15,"2/15/14","OU","Oursin Airlines Inc.","California","New York",8,0,0,"No",288,2475,6,-118.1043,33.9827,-73.9702,40.7184,NA
"4277","Phoenix, AZ","Denver, CO","Silver",57,"Female",1,2004,6,-0.2,"Business travel",0,194,75,"Eco",10,"1/10/14","F9","GoingNorth Airlines Inc.","Colorado","Arizona",17,2,0,"No",81,602,10,-104.9551,39.7108,-111.97,33.4941,NA
"4278","Dothan, AL","Atlanta, GA","Blue",69,"Male",1,2008,33,-0.6098,"Personal Travel",0,30,80,"Eco",24,"2/24/14","EV","FlyFast Airways Inc.","Georgia","Alabama",10,0,0,"No",35,170,6,-84.3319,33.8241,-85.4251,31.2237,NA
"4279","Denver, CO","Albuquerque, NM","Silver",40,"Female",0,2011,13,0.037,"Business travel",3,0,255,"Eco",23,"3/23/14","WN","Cheapseats Airlines Inc.","New Mexico","Colorado",8,0,0,"No",54,349,9,-106.6281,35.1434,-104.9551,39.7108,NA
"4280","Los Angeles, CA","Phoenix, AZ","Blue",63,"Female",1,2009,26,-0.5758,"Mileage tickets",0,0,75,"Eco",7,"1/7/14","US","Southeast Airlines Co.","Arizona","California",18,2,0,"No",59,370,9,-111.97,33.4941,-118.1043,33.9827,NA
"4281","Chicago, IL","Las Vegas, NV","Blue",85,"Female",1,2005,50,-0.9608,"Personal Travel",0,0,105,"Eco",16,"3/16/14","OU","Oursin Airlines Inc.","Nevada","Illinois",6,2,23,"No",200,1514,5,-115.1672,36.1349,-87.8954,41.8271,NA
"4282","Buffalo, NY","Orlando, FL","Blue",63,"Male",1,2011,0,1,"Business travel",0,0,15,"Business",16,"1/16/14","WN","Cheapseats Airlines Inc.","Florida","New York",10,0,0,"No",127,1011,3,-81.4112,28.5844,-78.8237,42.9249,NA
"4283","Denver, CO","St. Louis, MO","Blue",18,"Male",0,2004,29,-0.8125,"Business travel",1,5,0,"Eco Plus",5,"2/5/14","WN","Cheapseats Airlines Inc.","Missouri","Colorado",18,16,15,"No",130,770,6,-90.3409,38.6307,-104.9551,39.7108,NA
"4284","Chicago, IL","Pittsburgh, PA","Gold",43,"Male",1,2011,12,0.04,"Business travel",4,0,120,"Eco",19,"2/19/14","OU","Oursin Airlines Inc.","Pennsylvania","Illinois",15,9,0,"No",69,413,10,-79.951,40.457,-87.8954,41.8271,NA
"4285","Tampa, FL","Charlotte, NC","Blue",85,"Female",1,2006,26,-0.4444,"Business travel",0,60,105,"Eco Plus",12,"2/12/14","US","Southeast Airlines Co.","North Carolina","Florida",22,NA,NA,"Yes",NA,507,7,-80.8158,35.2497,-82.5132,28.0062,NA
"4286","San Francisco, CA","Boston, MA","Blue",80,"Female",1,2006,42,-0.7872,"Personal Travel",0,0,80,"Eco",9,"2/9/14","B6","OnlyJets Airlines Inc.","Massachusetts","California",7,138,153,"No",402,2704,4,-71.1407,42.3731,-122.1585,37.6712,NA
"4287","Richmond, VA","Atlanta, GA","Silver",64,"Male",1,2010,0,1,"Business travel",0,0,70,"Eco",7,"3/7/14","DL","Sigma Airlines Inc.","Georgia","Virginia",15,9,6,"No",72,481,7,-84.3319,33.8241,-77.488,37.4779,NA
"4288","Austin, TX","New York, NY","Silver",57,"Female",1,2012,38,-0.7674,"Business travel",0,0,60,"Eco",24,"1/24/14","B6","OnlyJets Airlines Inc.","New York","Texas",20,33,12,"No",204,1521,7,-73.9702,40.7184,-97.7615,30.3585,NA
"4289","Orlando, FL","Baltimore, MD","Silver",55,"Female",2,2006,0,1,"Business travel",0,0,190,"Eco",16,"1/16/14","WN","Cheapseats Airlines Inc.","Maryland","Florida",6,13,6,"No",124,787,9,-76.6478,39.2341,-81.4112,28.5844,NA
"4290","Corpus Christi, TX","Houston, TX","Silver",47,"Female",1,2003,14,-0.4737,"Personal Travel",0,0,135,"Eco",19,"2/19/14","EV","FlyFast Airways Inc.","Texas","Texas",7,0,0,"No",40,201,3,-95.3935,29.7843,-97.4126,27.7453,NA
"4291","Sacramento, CA","San Diego, CA","Blue",34,"Female",2,2009,39,-0.9024,"Personal Travel",4,0,30,"Eco",17,"2/17/14","WN","Cheapseats Airlines Inc.","California","California",13,16,13,"No",76,480,2,-117.1288,32.9287,-121.3247,38.6386,NA
"4292","Baltimore, MD","Phoenix, AZ","Blue",69,"Female",2,2008,23,-0.9167,"Personal Travel",0,0,60,"Eco",8,"1/8/14","US","Southeast Airlines Co.","Arizona","Maryland",9,9,26,"No",224,1999,2,-111.97,33.4941,-76.6478,39.2341,NA
"4293","Chicago, IL","Green Bay, WI","Silver",80,"Male",2,2012,15,-0.7647,"Personal Travel",0,20,30,"Eco",28,"3/28/14","MQ","EnjoyFlying Air Services","Wisconsin","Illinois",6,0,4,"No",39,173,9,-88.0395,44.5072,-87.8954,41.8271,NA
"4294","La Crosse, WI","Minneapolis, MN","Blue",27,"Female",2,2005,19,0,"Mileage tickets",1,0,70,"Eco",29,"1/29/14","OO","Northwest Business Airlines Inc.","Minnesota","Wisconsin",19,0,0,"No",23,119,2,-93.2798,44.9782,-91.2264,43.8598,NA
"4295","Phoenix, AZ","Bakersfield, CA","Gold",49,"Male",1,2003,16,-0.6,"Business travel",1,40,95,"Eco",9,"1/9/14","OO","Northwest Business Airlines Inc.","California","Arizona",6,0,0,"No",73,425,10,-119.0306,35.3623,-111.97,33.4941,NA
"4296","Houston, TX","Atlanta, GA","Blue",30,"Female",1,2007,15,-0.4286,"Business travel",0,0,50,"Eco",3,"1/3/14","FL","FlyHere Airways","Georgia","Texas",8,26,22,"No",106,696,9,-84.3319,33.8241,-95.3935,29.7843,NA
