Destination.City,Origin.City,Airline.Status,Age,Gender,Price.Sensitivity,Year.of.First.Flight,Flights.Per.Year,Loyalty,Type.of.Travel,Total.Freq.Flyer.Accts,Shopping.Amount.at.Airport,Eating.and.Drinking.at.Airport,Class,Day.of.Month,Flight.date,Partner.Code,Partner.Name,Origin.State,Destination.State,Scheduled.Departure.Hour,Departure.Delay.in.Minutes,Arrival.Delay.in.Minutes,Flight.cancelled,Flight.time.in.minutes,Flight.Distance,Likelihood.to.recommend,olong,olat,dlong,dlat
Houston,Denver,Blue,46,Female,1,2005,7,0.5,Personal Travel,1,0,35,Eco,25,1/25/14,OU,Oursin Airlines Inc.,Colorado,Texas,12,0,0,No,111,862,6,-104.9551,39.7108,-95.3935,29.7843
Anchorage,Seattle,Blue,37,Female,2,2004,19,-0.9,Mileage tickets,2,60,30,Eco,22,1/22/14,AS,FlyToSun Airlines Inc.,Washington,Alaska,6,0,0,No,206,1448,7,-122.2747,47.4684,-149.8472,61.1679
New York,Boston,Blue,40,Female,1,2005,21,-0.3548,Business travel,0,0,75,Eco,7,01-07-14,US,Southeast Airlines Co.,Massachusetts,New York,18,0,0,No,43,184,9,-71.1407,42.3731,-73.9702,40.7184
Detroit,Manchester,Silver,39,Female,1,2006,6,-0.0909,Business travel,0,0,120,Eco,26,1/26/14,EV,FlyFast Airways Inc.,New Hampshire,Michigan,16,27,47,No,130,610,8,-71.4797,42.991,-83.2276,42.49
Chicago,San Diego,Blue,39,Female,1,2009,10,-0.25,Mileage tickets,0,0,80,Eco,20,2/20/14,WN,Cheapseats Airlines Inc.,California,Illinois,12,0,0,Yes,94,1728,9,-117.1288,32.9287,-87.8954,41.8271
Phoenix,Miami,Blue,51,Female,1,2012,18,-0.44,Mileage tickets,0,0,40,Eco,12,03-12-14,AA,Paul Smith Airlines Inc.,Florida,Arizona,19,0,0,No,278,1972,7,-80.2314,26.1756,-111.97,33.4941
Syracuse,Atlanta,Blue,75,Female,2,2010,25,-0.6129,Mileage tickets,0,0,75,Eco,13,3/13/14,DL,Sigma Airlines Inc.,Georgia,New York,20,26,23,No,111,794,8,-84.3319,33.8241,-76.164,43.0904
Salt Lake City,Medford,Silver,29,Female,1,2006,5,0.2857,Business travel,0,0,55,Eco,5,02-05-14,OO,Northwest Business Airlines Inc.,Oregon,Utah,13,0,0,No,74,575,9,-122.8442,42.3364,-111.9295,40.6408
Orlando,Washington,Blue,23,Male,2,2007,8,-0.1429,Business travel,0,0,0,Eco,31,3/31/14,US,Southeast Airlines Co.,Virginia,Florida,17,0,0,No,110,759,8,-77.1897,38.8974,-81.4112,28.5844
Milwaukee,St. Louis,Blue,28,Male,1,2004,2,0.8519,Business travel,2,10,30,Eco,17,3/17/14,WN,Cheapseats Airlines Inc.,Missouri,Wisconsin,8,13,12,No,53,317,9,-90.3409,38.6307,-88.1005,43.0557
Denver,Los Angeles,Silver,42,Female,1,2009,27,-0.4595,Business travel,2,0,60,Eco,27,2/27/14,OU,Oursin Airlines Inc.,California,Colorado,18,0,0,No,101,862,9,-118.1043,33.9827,-104.9551,39.7108
Detroit,South Bend,Blue,44,Female,1,2008,19,0.0732,Personal Travel,1,30,55,Eco,2,03-02-14,OO,Northwest Business Airlines Inc.,Indiana,Michigan,6,0,0,No,27,157,7,-86.2017,41.7144,-83.2276,42.49
Washington,Boston,Blue,46,Male,1,2004,8,-0.1429,Business travel,1,0,45,Business,20,1/20/14,B6,OnlyJets Airlines Inc.,Massachusetts,Virginia,6,0,0,No,78,413,10,-71.1407,42.3731,-77.1897,38.8974
St. Louis,Charlotte,Blue,52,Female,1,2007,14,-0.4737,Mileage tickets,0,20,20,Eco,21,1/21/14,US,Southeast Airlines Co.,North Carolina,Missouri,18,0,0,No,97,575,8,-80.8158,35.2497,-90.3409,38.6307
Detroit,Miami,Blue,52,Female,1,2006,31,-0.6757,Business travel,1,0,40,Eco,21,2/21/14,DL,Sigma Airlines Inc.,Florida,Michigan,15,152,151,No,151,1145,7,-80.2314,26.1756,-83.2276,42.49
Atlanta,Brunswick,Blue,41,Female,2,2004,10,-0.0526,Business travel,2,195,60,Eco Plus,4,03-04-14,EV,FlyFast Airways Inc.,Georgia,Georgia,7,0,15,No,51,238,8,-81.5053,31.2154,-84.3319,33.8241
Seattle,Houston,Blue,56,Male,1,2005,43,-0.7917,Business travel,0,30,0,Eco,31,1/31/14,OU,Oursin Airlines Inc.,Texas,Washington,14,5,0,No,254,1874,6,-95.3935,29.7843,-122.2747,47.4684
St. Louis,Charlotte,Gold,40,Female,1,2011,10,-0.1111,Business travel,2,30,55,Eco,23,1/23/14,US,Southeast Airlines Co.,North Carolina,Missouri,18,0,0,No,100,575,9,-80.8158,35.2497,-90.3409,38.6307
Phoenix,Yuma,Blue,55,Female,1,2010,16,-0.2308,Business travel,0,75,90,Eco Plus,3,03-03-14,OO,Northwest Business Airlines Inc.,Arizona,Arizona,11,0,0,No,31,160,8,-114.5683,32.6772,-111.97,33.4941
Atlanta,San Juan,Blue,35,Male,1,2009,22,-0.5172,Business travel,3,0,60,Eco,6,03-06-14,DL,Sigma Airlines Inc.,Puerto Rico,Georgia,13,0,0,No,204,1547,9,-66.1162,18.2882,-84.3319,33.8241
Chicago,Muskegon,Blue,44,Female,1,2012,20,-0.5385,Personal Travel,1,0,185,Eco,8,02-08-14,OO,Northwest Business Airlines Inc.,Michigan,Illinois,12,0,13,No,35,118,3,-86.213,43.1656,-87.8954,41.8271
Boston,New York,Blue,55,Female,2,2007,36,-0.7143,Personal Travel,0,60,60,Eco Plus,2,01-02-14,B6,OnlyJets Airlines Inc.,New York,Massachusetts,13,118,160,No,42,187,4,-73.9702,40.7184,-71.1407,42.3731
Houston,Dallas,Gold,59,Female,2,2011,34,-0.8889,Business travel,0,30,45,Eco,26,2/26/14,WN,Cheapseats Airlines Inc.,Texas,Texas,8,0,0,No,48,239,8,-96.972,32.8127,-95.3935,29.7843
Washington,Boston,Blue,50,Female,0,2006,33,-0.65,Mileage tickets,0,0,60,Eco,6,03-06-14,B6,OnlyJets Airlines Inc.,Massachusetts,Virginia,7,0,4,No,73,399,9,-71.1407,42.3731,-77.1897,38.8974
Los Angeles,Phoenix,Silver,36,Female,1,2012,13,0.1034,Personal Travel,4,120,70,Eco,16,2/16/14,OO,Northwest Business Airlines Inc.,Arizona,California,7,0,0,No,67,370,7,-111.97,33.4941,-118.1043,33.9827
Chicago,Dayton,Blue,46,Female,1,2004,11,-0.6923,Business travel,0,0,50,Eco,3,02-03-14,OO,Northwest Business Airlines Inc.,Ohio,Illinois,15,0,3,No,43,240,9,-84.1671,39.7549,-87.8954,41.8271
Atlanta,Phoenix,Blue,34,Female,2,2010,3,0.4,Business travel,1,15,45,Eco,13,3/13/14,US,Southeast Airlines Co.,Arizona,Georgia,23,0,0,No,171,1587,9,-111.97,33.4941,-84.3319,33.8241
Boston,Detroit,Gold,39,Female,1,2005,9,-0.2,Business travel,4,0,60,Eco,18,2/18/14,DL,Sigma Airlines Inc.,Michigan,Massachusetts,17,4,13,No,89,632,9,-83.2276,42.49,-71.1407,42.3731
Chicago,Atlanta,Blue,46,Male,1,2007,24,-0.5484,Business travel,1,90,65,Eco,18,2/18/14,FL,FlyHere Airways,Georgia,Illinois,8,0,0,No,96,591,9,-84.3319,33.8241,-87.8954,41.8271
St. Louis,Denver,Platinum,30,Male,2,2005,13,-0.4444,Business travel,0,90,60,Business,25,2/25/14,WN,Cheapseats Airlines Inc.,Colorado,Missouri,7,0,0,No,92,770,9,-104.9551,39.7108,-90.3409,38.6307
Pittsburgh,Houston,Blue,39,Male,1,2012,12,-0.6,Business travel,2,50,105,Eco,26,3/26/14,WN,Cheapseats Airlines Inc.,Texas,Pennsylvania,13,0,0,No,136,1131,8,-95.3935,29.7843,-79.951,40.457
Orlando,Denver,Blue,34,Female,1,2003,7,0.5625,Business travel,3,100,135,Eco,27,1/27/14,OU,Oursin Airlines Inc.,Colorado,Florida,14,0,0,No,167,1546,10,-104.9551,39.7108,-81.4112,28.5844
Baltimore,Boston,Gold,46,Female,1,2011,33,-0.8857,Business travel,2,0,45,Eco,1,01-01-14,WN,Cheapseats Airlines Inc.,Massachusetts,Maryland,14,9,5,No,72,369,10,-71.1407,42.3731,-76.6478,39.2341
Atlanta,Chicago,Gold,49,Male,1,2004,21,-0.05,Business travel,3,10,30,Eco,11,03-11-14,DL,Sigma Airlines Inc.,Illinois,Georgia,18,129,124,No,87,606,10,-87.8954,41.8271,-84.3319,33.8241
Dallas,El Paso,Blue,45,Female,1,2006,22,0,Business travel,1,130,70,Eco,20,3/20/14,WN,Cheapseats Airlines Inc.,Texas,Texas,20,22,12,No,68,562,4,-106.389,31.7802,-96.972,32.8127
San Diego,Phoenix,Blue,35,Female,2,2007,23,-0.15,Business travel,1,9,25,Eco,17,2/17/14,US,Southeast Airlines Co.,Arizona,California,15,0,0,No,49,304,9,-111.97,33.4941,-117.1288,32.9287
Hibbing,Minneapolis,Blue,72,Male,1,2004,29,-0.7059,Business travel,0,60,20,Eco,14,3/14/14,OO,Northwest Business Airlines Inc.,Minnesota,Minnesota,19,0,0,No,31,174,9,-93.2798,44.9782,-92.9293,47.4139
Houston,Los Angeles,Silver,25,Male,1,2005,14,-0.8667,Business travel,0,0,60,Eco,25,3/25/14,WN,Cheapseats Airlines Inc.,California,Texas,10,7,0,No,156,1390,10,-118.1043,33.9827,-95.3935,29.7843
Chicago,Columbus,Blue,43,Female,2,2009,24,-0.7143,Business travel,1,0,30,Eco,7,03-07-14,EV,FlyFast Airways Inc.,Ohio,Illinois,20,0,0,No,53,296,5,-82.9685,40.0212,-87.8954,41.8271
Omaha,Chicago,Blue,77,Male,1,2009,12,-0.0909,Personal Travel,0,45,65,Eco,29,3/29/14,MQ,EnjoyFlying Air Services,Illinois,Nebraska,17,4,3,No,63,416,7,-87.8954,41.8271,-96.0346,41.2349
Houston,Atlanta,Platinum,60,Male,1,2011,12,-0.2632,Business travel,0,10,90,Eco,26,2/26/14,DL,Sigma Airlines Inc.,Georgia,Texas,9,4,0,No,117,689,10,-84.3319,33.8241,-95.3935,29.7843
Kansas City,New Orleans,Silver,38,Female,1,2004,15,-0.1538,Personal Travel,5,45,90,Eco,21,2/21/14,WN,Cheapseats Airlines Inc.,Louisiana,Missouri,15,15,6,No,97,689,8,-90.1437,29.9547,-94.5949,39.0398
Washington,Atlanta,Blue,17,Female,1,2009,29,-0.7576,Personal Travel,1,30,7,Eco,25,3/25/14,DL,Sigma Airlines Inc.,Georgia,Virginia,14,0,0,No,70,547,7,-84.3319,33.8241,-77.1897,38.8974
Charlotte,Miami,Blue,67,Female,2,2008,12,-0.1429,Personal Travel,0,35,30,Eco,6,03-06-14,US,Southeast Airlines Co.,Florida,North Carolina,19,50,52,No,87,650,4,-80.2314,26.1756,-80.8158,35.2497
Tampa,Milwaukee,Blue,80,Male,1,2003,16,-0.3333,Personal Travel,0,30,210,Eco,22,1/22/14,WN,Cheapseats Airlines Inc.,Wisconsin,Florida,14,157,139,No,129,1075,3,-88.1005,43.0557,-82.5132,28.0062
Brunswick,Atlanta,Platinum,32,Female,1,2004,17,-0.619,Personal Travel,0,0,225,Eco,11,01-11-14,EV,FlyFast Airways Inc.,Georgia,Georgia,10,0,60,No,65,238,1,-84.3319,33.8241,-81.5053,31.2154
Denver,Bakersfield,Blue,26,Male,2,2004,2,0.6,Mileage tickets,1,0,68,Eco,22,2/22/14,OO,Northwest Business Airlines Inc.,California,Colorado,5,0,13,No,107,845,9,-119.0306,35.3623,-104.9551,39.7108
Miami,New York,Blue,31,Female,1,2011,8,0.0588,Business travel,2,0,10,Eco,5,03-05-14,AA,Paul Smith Airlines Inc.,New York,Florida,17,0,4,No,167,1089,8,-73.9702,40.7184,-80.2314,26.1756
Miami,Houston,Blue,46,Female,1,2010,46,-0.8776,Business travel,0,10,30,Eco,23,2/23/14,AA,Paul Smith Airlines Inc.,Texas,Florida,17,14,14,No,112,964,7,-95.3935,29.7843,-80.2314,26.1756
Chicago,Philadelphia,Blue,43,Female,2,2011,29,-0.6111,Personal Travel,0,0,80,Eco,8,02-08-14,US,Southeast Airlines Co.,Pennsylvania,Illinois,7,0,0,No,116,678,7,-75.2984,39.9733,-87.8954,41.8271
Boston,Milwaukee,Blue,38,Female,1,2012,3,0.4,Business travel,3,0,77,Eco Plus,7,01-07-14,WN,Cheapseats Airlines Inc.,Wisconsin,Massachusetts,10,17,4,No,96,860,9,-88.1005,43.0557,-71.1407,42.3731
Atlanta,Montgomery,Gold,31,Female,1,2004,9,0.8,Business travel,1,60,30,Eco,10,01-10-14,EV,FlyFast Airways Inc.,Alabama,Georgia,14,58,49,No,29,147,7,-86.2975,32.4,-84.3319,33.8241
Los Angeles,Las Vegas,Gold,71,Male,1,2004,47,-0.8431,Personal Travel,0,0,45,Eco,8,03-08-14,AA,Paul Smith Airlines Inc.,Nevada,California,10,0,0,No,41,236,7,-115.1672,36.1349,-118.1043,33.9827
Miami,Houston,Blue,20,Female,2,2005,22,-0.6296,Business travel,0,0,0,Eco,14,2/14/14,AA,Paul Smith Airlines Inc.,Texas,Florida,17,11,10,No,109,964,4,-95.3935,29.7843,-80.2314,26.1756
Chicago,San Francisco,Silver,56,Female,1,2003,22,-0.4667,Business travel,0,70,35,Eco,27,3/27/14,OU,Oursin Airlines Inc.,California,Illinois,23,0,0,No,213,1846,9,-122.1585,37.6712,-87.8954,41.8271
Boston,Richmond,Blue,47,Male,1,2006,14,-0.5556,Business travel,0,0,75,Eco,1,01-01-14,B6,OnlyJets Airlines Inc.,Virginia,Massachusetts,8,0,0,No,67,474,9,-77.488,37.4779,-71.1407,42.3731
Atlanta,Pittsburgh,Blue,44,Female,1,2004,32,-0.9394,Mileage tickets,2,90,30,Eco,15,1/15/14,DL,Sigma Airlines Inc.,Pennsylvania,Georgia,17,0,0,No,88,526,8,-79.951,40.457,-84.3319,33.8241
Kansas City,Milwaukee,Platinum,67,Male,1,2008,8,0.4483,Personal Travel,1,17,30,Eco,4,02-04-14,WN,Cheapseats Airlines Inc.,Wisconsin,Missouri,8,0,0,No,70,436,4,-88.1005,43.0557,-94.5949,39.0398
Little Rock,Atlanta,Blue,20,Male,2,2011,45,-0.6981,Personal Travel,5,20,30,Eco,2,03-02-14,DL,Sigma Airlines Inc.,Georgia,Arkansas,7,63,56,No,72,453,6,-84.3319,33.8241,-92.3212,34.7566
Boston,Minneapolis,Blue,62,Male,2,2006,20,-0.5385,Personal Travel,0,60,0,Eco,23,2/23/14,DL,Sigma Airlines Inc.,Minnesota,Massachusetts,10,0,0,No,125,1124,1,-93.2798,44.9782,-71.1407,42.3731
Charlotte,Chicago,Gold,28,Female,1,2007,14,-0.75,Business travel,0,5,40,Eco,27,3/27/14,MQ,EnjoyFlying Air Services,Illinois,North Carolina,9,15,23,No,83,599,9,-87.8954,41.8271,-80.8158,35.2497
Phoenix,Portland,Silver,72,Female,2,2008,12,-0.7143,Personal Travel,0,0,75,Eco,9,01-09-14,WN,Cheapseats Airlines Inc.,Oregon,Arizona,6,0,0,No,122,1009,8,-122.6511,45.5204,-111.97,33.4941
Kansas City,Charlotte,Silver,33,Female,2,2006,24,0.2941,Business travel,2,0,30,Eco,4,03-04-14,US,Southeast Airlines Co.,North Carolina,Missouri,13,2,0,No,132,808,8,-80.8158,35.2497,-94.5949,39.0398
Los Angeles,Santa Barbara,Silver,57,Male,1,2010,4,0.1111,Business travel,0,0,120,Eco,14,1/14/14,OO,Northwest Business Airlines Inc.,California,California,10,0,0,No,37,89,9,-119.7241,34.4275,-118.1043,33.9827
New Orleans,Charlotte,Silver,33,Female,1,2008,3,0.8462,Business travel,1,0,180,Eco,21,1/21/14,US,Southeast Airlines Co.,North Carolina,Louisiana,18,2,0,No,95,651,8,-80.8158,35.2497,-90.1437,29.9547
Salt Lake City,Kansas City,Blue,18,Female,1,2009,4,0.2,Personal Travel,1,240,150,Eco,29,1/29/14,OO,Northwest Business Airlines Inc.,Missouri,Utah,18,0,13,No,167,920,4,-94.5949,39.0398,-111.9295,40.6408
San Diego,Sacramento,Blue,37,Female,2,2005,27,-0.6364,Mileage tickets,2,60,15,Eco,13,2/13/14,WN,Cheapseats Airlines Inc.,California,California,6,0,0,No,67,480,6,-121.3247,38.6386,-117.1288,32.9287
Birmingham,Atlanta,Blue,40,Female,2,2010,6,-0.7143,Personal Travel,2,0,30,Eco,7,02-07-14,DL,Sigma Airlines Inc.,Georgia,Alabama,17,0,0,No,28,134,4,-84.3319,33.8241,-86.792,33.4691
Hartford,Detroit,Gold,53,Male,1,2008,17,-0.4783,Business travel,0,15,45,Eco,25,2/25/14,DL,Sigma Airlines Inc.,Michigan,Connecticut,17,0,0,No,66,549,10,-83.2276,42.49,-72.6988,41.7401
Los Angeles,New York,Blue,26,Male,1,2005,15,0.5588,Business travel,3,0,75,Eco,21,3/21/14,AA,Paul Smith Airlines Inc.,New York,California,21,2,0,No,339,2475,10,-73.9702,40.7184,-118.1043,33.9827
Tulsa,Atlanta,Blue,70,Female,1,2003,36,-0.8,Business travel,0,0,50,Eco Plus,25,2/25/14,DL,Sigma Airlines Inc.,Georgia,Oklahoma,20,0,0,No,101,674,4,-84.3319,33.8241,-95.9013,36.1054
Jacksonville,Atlanta,Blue,41,Male,1,2004,8,0.2,Business travel,1,0,90,Eco,4,01-04-14,DL,Sigma Airlines Inc.,Georgia,Florida,15,16,11,No,46,270,8,-84.3319,33.8241,-81.6427,30.2401
Salt Lake City,Los Angeles,Blue,34,Male,1,2006,8,0.5152,Business travel,2,0,30,Eco,31,1/31/14,WN,Cheapseats Airlines Inc.,California,Utah,15,12,0,No,82,590,8,-118.1043,33.9827,-111.9295,40.6408
New York,Salt Lake City,Blue,58,Male,1,2011,25,-0.5152,Business travel,0,0,65,Eco,20,3/20/14,DL,Sigma Airlines Inc.,Utah,New York,13,0,11,No,246,1990,9,-111.9295,40.6408,-73.9702,40.7184
Salt Lake City,Phoenix,Blue,85,Female,1,2007,59,-0.8438,Personal Travel,0,0,60,Eco,30,3/30/14,DL,Sigma Airlines Inc.,Arizona,Utah,18,0,0,No,84,507,7,-111.97,33.4941,-111.9295,40.6408
Los Angeles,Las Vegas,Blue,16,Female,1,2008,45,-0.1111,Personal Travel,3,0,30,Eco,18,2/18/14,WN,Cheapseats Airlines Inc.,Nevada,California,18,15,3,No,42,236,4,-115.1672,36.1349,-118.1043,33.9827
Chicago,New York,Gold,31,Female,1,2004,22,-0.1892,Personal Travel,1,90,50,Eco Plus,28,3/28/14,AA,Paul Smith Airlines Inc.,New York,Illinois,7,0,0,No,127,733,4,-73.9702,40.7184,-87.8954,41.8271
Columbia,Atlanta,Blue,15,Female,2,2008,13,-0.625,Personal Travel,1,0,75,Eco Plus,5,03-05-14,EV,FlyFast Airways Inc.,Georgia,South Carolina,8,0,0,No,34,192,5,-84.3319,33.8241,-81.0772,34.0362
Mobile,Houston,Blue,56,Female,1,2010,25,-0.4706,Business travel,0,0,5,Eco,20,2/20/14,EV,FlyFast Airways Inc.,Texas,Alabama,13,0,0,No,56,427,5,-95.3935,29.7843,-88.1635,30.6674
Columbia,Houston,Blue,27,Male,2,2003,28,-0.5135,Business travel,1,60,60,Eco,28,2/28/14,EV,FlyFast Airways Inc.,Texas,South Carolina,13,36,30,No,109,878,7,-95.3935,29.7843,-81.0772,34.0362
Phoenix,Las Vegas,Blue,77,Female,0,2004,66,-0.8082,Business travel,0,10,10,Eco,11,02-11-14,WN,Cheapseats Airlines Inc.,Nevada,Arizona,19,0,0,No,42,255,6,-115.1672,36.1349,-111.97,33.4941
San Diego,Chicago,Blue,43,Female,1,2004,3,0.7391,Business travel,3,150,60,Eco,17,3/17/14,WN,Cheapseats Airlines Inc.,Illinois,California,8,0,6,No,247,1728,7,-87.8954,41.8271,-117.1288,32.9287
Chicago,Houston,Blue,80,Female,1,2011,16,-0.6842,Mileage tickets,0,125,75,Eco Plus,14,1/14/14,MQ,EnjoyFlying Air Services,Texas,Illinois,6,3,0,No,115,925,6,-95.3935,29.7843,-87.8954,41.8271
Miami,Orlando,Platinum,73,Male,1,2007,24,-0.4118,Business travel,0,30,60,Business,25,3/25/14,AA,Paul Smith Airlines Inc.,Florida,Florida,14,0,0,No,41,192,7,-81.4112,28.5844,-80.2314,26.1756
New York,San Antonio,Silver,27,Female,1,2004,14,-0.037,Business travel,1,35,0,Eco,5,03-05-14,DL,Sigma Airlines Inc.,Texas,New York,8,0,0,No,192,1587,7,-98.4754,29.5144,-73.9702,40.7184
Memphis,Atlanta,Silver,39,Female,1,2008,0,1,Business travel,0,0,60,Eco,4,01-04-14,EV,FlyFast Airways Inc.,Georgia,Tennessee,8,1,17,No,62,332,7,-84.3319,33.8241,-89.9179,35.0951
Boston,Los Angeles,Gold,44,Female,1,2007,13,0.2121,Personal Travel,2,60,50,Eco,7,03-07-14,OU,Oursin Airlines Inc.,California,Massachusetts,22,0,0,No,290,2611,4,-118.1043,33.9827,-71.1407,42.3731
Atlanta,Minneapolis,Blue,70,Female,1,2009,35,-0.9444,Personal Travel,0,30,120,Eco,26,1/26/14,DL,Sigma Airlines Inc.,Minnesota,Georgia,11,0,0,No,114,907,5,-93.2798,44.9782,-84.3319,33.8241
Miami,New York,Silver,33,Female,1,2003,6,0.5714,Business travel,3,20,0,Business,3,03-03-14,AA,Paul Smith Airlines Inc.,New York,Florida,19,0,0,No,164,1096,8,-73.9702,40.7184,-80.2314,26.1756
Tampa,Providence,Blue,45,Female,0,2005,38,-0.9,Mileage tickets,0,178,15,Eco,23,3/23/14,WN,Cheapseats Airlines Inc.,Rhode Island,Florida,17,0,6,No,176,1136,6,-71.3974,41.7763,-82.5132,28.0062
San Francisco,Atlanta,Gold,38,Male,1,2007,10,-0.3333,Business travel,2,0,90,Eco Plus,13,2/13/14,DL,Sigma Airlines Inc.,Georgia,California,13,78,68,No,295,2139,10,-84.3319,33.8241,-122.1585,37.6712
San Antonio,Atlanta,Blue,40,Female,1,2003,39,-0.322,Mileage tickets,2,3,30,Eco,26,3/26/14,DL,Sigma Airlines Inc.,Georgia,Texas,8,0,0,No,131,874,7,-84.3319,33.8241,-98.4754,29.5144
Sacramento,Las Vegas,Silver,65,Female,2,2008,19,-0.8095,Mileage tickets,0,15,90,Eco,31,1/31/14,WN,Cheapseats Airlines Inc.,Nevada,California,10,70,75,No,75,397,10,-115.1672,36.1349,-121.3247,38.6386
Oklahoma City,Dallas,Blue,17,Female,4,2008,0,1,Personal Travel,1,0,0,Eco,24,3/24/14,WN,Cheapseats Airlines Inc.,Texas,Oklahoma,14,16,16,No,38,181,1,-96.972,32.8127,-97.5243,35.5048
San Diego,Reno,Blue,38,Female,2,2006,14,0.4043,Personal Travel,3,10,70,Eco,18,2/18/14,WN,Cheapseats Airlines Inc.,Nevada,California,20,0,0,No,69,488,5,-119.7959,39.5326,-117.1288,32.9287
Houston,Atlanta,Blue,56,Female,1,2003,23,-0.6429,Business travel,1,6,85,Business,18,3/18/14,DL,Sigma Airlines Inc.,Georgia,Texas,16,17,11,No,108,696,9,-84.3319,33.8241,-95.3935,29.7843
Memphis,Orlando,Blue,70,Male,1,2007,36,-0.7561,Personal Travel,1,0,120,Eco Plus,5,01-05-14,WN,Cheapseats Airlines Inc.,Florida,Tennessee,14,26,29,No,113,684,4,-81.4112,28.5844,-89.9179,35.0951
Austin,Dallas,Blue,22,Male,2,2008,27,-0.5429,Business travel,0,10,45,Eco,27,3/27/14,WN,Cheapseats Airlines Inc.,Texas,Texas,18,0,0,No,32,189,6,-96.972,32.8127,-97.7615,30.3585
Dallas,Houston,Blue,30,Male,2,2005,44,-0.7959,Business travel,0,0,60,Eco,24,3/24/14,EV,FlyFast Airways Inc.,Texas,Texas,7,0,0,No,41,216,6,-95.3935,29.7843,-96.972,32.8127
San Francisco,Orlando,Silver,38,Male,1,2006,0,1,Business travel,3,5,50,Eco,16,2/16/14,VX,Cool&Young Airlines Inc.,Florida,California,8,0,3,No,350,2446,7,-81.4112,28.5844,-122.1585,37.6712
Los Angeles,Salt Lake City,Silver,34,Male,1,2012,30,-0.6667,Mileage tickets,0,120,225,Business,15,2/15/14,WN,Cheapseats Airlines Inc.,Utah,California,17,8,0,No,92,590,9,-111.9295,40.6408,-118.1043,33.9827
Wichita,Chicago,Silver,50,Female,1,2008,17,-0.4167,Business travel,0,95,15,Eco,8,01-08-14,MQ,EnjoyFlying Air Services,Illinois,Kansas,19,57,51,No,91,588,9,-87.8954,41.8271,-97.3273,37.6797
San Francisco,Las Vegas,Blue,39,Female,1,2010,7,0.5333,Personal Travel,1,0,60,Eco,18,1/18/14,WN,Cheapseats Airlines Inc.,Nevada,California,17,82,63,No,63,414,2,-115.1672,36.1349,-122.1585,37.6712
Jacksonville,Charlotte,Blue,47,Male,2,2003,12,-0.6,Business travel,0,0,45,Eco,15,2/15/14,US,Southeast Airlines Co.,North Carolina,Florida,17,3,0,No,48,328,9,-80.8158,35.2497,-81.6427,30.2401
Fargo,Denver,Blue,77,Female,1,2009,35,-0.7073,Personal Travel,0,0,25,Eco,28,3/28/14,OO,Northwest Business Airlines Inc.,Colorado,North Dakota,14,4,3,No,88,627,7,-104.9551,39.7108,-96.8207,46.8625
Charlotte,Miami,Gold,70,Female,1,2003,22,-0.5172,Personal Travel,0,100,108,Eco Plus,13,3/13/14,MQ,EnjoyFlying Air Services,Florida,North Carolina,14,30,19,No,104,650,4,-80.2314,26.1756,-80.8158,35.2497
Oklahoma City,Atlanta,Blue,50,Female,1,2008,18,-0.2857,Business travel,1,0,40,Business,2,03-02-14,DL,Sigma Airlines Inc.,Georgia,Oklahoma,20,20,15,No,111,761,9,-84.3319,33.8241,-97.5243,35.5048
Miami,Jacksonville,Silver,23,Female,1,2011,17,-0.7895,Business travel,1,0,10,Eco,15,2/15/14,MQ,EnjoyFlying Air Services,Florida,Florida,19,0,0,No,51,335,8,-81.6427,30.2401,-80.2314,26.1756
Milwaukee,Minneapolis,Blue,29,Female,1,2008,10,0.2857,Business travel,3,35,50,Business,21,3/21/14,WN,Cheapseats Airlines Inc.,Minnesota,Wisconsin,6,0,0,No,42,297,9,-93.2798,44.9782,-88.1005,43.0557
New Orleans,Houston,Silver,40,Female,1,2006,6,-0.3333,Business travel,2,60,75,Eco Plus,27,3/27/14,WN,Cheapseats Airlines Inc.,Texas,Louisiana,9,28,24,No,42,302,7,-95.3935,29.7843,-90.1437,29.9547
Traverse City,Chicago,Blue,18,Male,1,2005,15,-0.25,Personal Travel,1,0,70,Eco,19,2/19/14,MQ,EnjoyFlying Air Services,Illinois,Michigan,19,3,4,No,38,224,10,-87.8954,41.8271,-85.624,44.731
Detroit,Phoenix,Silver,29,Female,1,2012,5,0.6,Business travel,1,0,50,Eco Plus,24,3/24/14,US,Southeast Airlines Co.,Arizona,Michigan,12,0,2,No,205,1671,9,-111.97,33.4941,-83.2276,42.49
Lafayette,Houston,Blue,72,Female,1,2003,45,-0.6981,Personal Travel,0,0,148,Eco,25,2/25/14,EV,FlyFast Airways Inc.,Texas,Louisiana,8,10,15,No,36,201,1,-95.3935,29.7843,-92.0133,30.1654
Denver,Cody,Silver,46,Male,1,2006,48,-0.7143,Personal Travel,0,0,45,Eco,7,01-07-14,OO,Northwest Business Airlines Inc.,Wyoming,Colorado,5,1,0,No,53,391,9,-109.0504,44.5228,-104.9551,39.7108
Tampa,San Juan,Silver,30,Female,1,2008,6,0.5862,Personal Travel,2,120,55,Eco,6,01-06-14,B6,OnlyJets Airlines Inc.,Puerto Rico,Florida,13,266,255,No,158,1237,7,-66.1162,18.2882,-82.5132,28.0062
